username,rating,title,content,date_of_experience
Stephen Knight,1,Appalling! Not the Trains! The Staff!,"Appalling Service from Staff. I was in First Class and this staff member walked in, asked if I could read (A sign that was on a slide door that slid open as you approached it therefore wiping out any chance of you actually reading it!) and told me to pack up my things and get next door. He forcefully made sure I went, pushing me as I was 'Too slow' packing up my things, even though I am disabled with only the use of one arm and epileptic. When I explained this, he told me that me being in the wrong carriage was nothing to do with me being disabled, and I didn't look disabled in any case!He tried to get me into the next carriage but the refreshment trolley was coming the other way. I was trapped, couldn't move. He wouldn't move, the trolley wouldn't move, and 'B' was shouting at me to get into the next carriage.There was more, mainly about my triggers on my epilepsy which he replied that it was not his problem.GWR - Get some good staff!Reported it but haven't heard a thing to date.",No Date
Linda Doyle,1,NOT COVID SAFE,"I was disappointed to find an evening train from Salisbury (5.42) to Cardiff via Bristol was NOT Covid safe. With a lot of travelers not wearing masks, drunk, drinking and groups standing together in carriages. Not asked to move or wear masks amazed me. A very worrying trip.",No Date
JW,1,They don't have a clue.,"Applied for a job with them.  Weirdest recruitment process ever.  Spent 2 hours telling them all of my work history, my gender, sexuality and all that nonsense (frankly none of their business). Then I get an email saying they're reviewing applications, a week later I got a rejection email and I can't apply for a similar job for 6 months?   No other company makes you wait 6 months before you can apply again!  I'll still to aviation from now on instead of this poppycock.",No Date
Carla,5,Wonderful customer service through WhatsApp,"Wonderful customer service through WhatsApp, helped me secure bike reservation in less than 5 minutes! Thanks Brad :D",No Date
PS,5,Reserved seats using WhatsApp,Just used WhatsApp to make seat reservations for tickets I already have. The website doesn’t let you do this so the WhatsApp was a real help. Quick and efficient!!  Thank you,No Date
Kyle Knight,3,Outdated,Not bad as a service overall but it’s quite an antique and outdated company that really need to improve their infrastructure and vehicles a bit better.,No Date
PM,5,Helpful service.,"My partner’s son left his jacket on a train. I contacted GWR via their Twitter helpline snd they couldn’t have been more proactive, efficient or communicative. Within minutes they’d tracked down the article, informed me of how I could collect to it a d the whole issue was solved within an hour. Great service… thank you so much.",No Date
ME,5,I can't thank Phil enough for helping…,"I can't thank Phil enough for helping me with my seats through messenger.He has taken so much anxiety and pressure off my on going situation, I really can't thank him enough",No Date
AP,4,Staff at Paddington station were great…,"Staff at Paddington station were great during the recent disruption. Really happy with the service. Only gripe was there wasn’t a working toilet on board, for a 3 hour journey this was a bit of a pain.",No Date
David Ball,5,Train tickets were booked for my…,"Train tickets were booked for my elderly sister and her husband.Absolutely brilliant service from GWR customer assistance, called them up and they organised everything to assist them on both journeys. The operator a guy called Ricardo was excellent, helpful and caring. Thank you GWR very impressed!",No Date
David Glyn Dearden,1,Today GWR nothing great lost the will…,Today GWR nothing great lost the will to live trying to get to London Paddington since 10:30 this morning time now 15:56 still not thereYou knew you had a problem but no contingency plan just mass confusion not impressed David Dearden,No Date
SH,5,Train cancellations customer service,Michaela was fantastic in the recent and ongoing spate of disruptions. Super responsive and helpful which is what is needed in this time of scrambling to make alternative arrangements.,No Date
TR,1,So we got to platform 7 for our train…,So we got to platform 7 for our train to Gloucester. The train was there at 7.39 but the gentleman didn't let us on because the doors already closed early we got there at 7.39.how annoying. Great western could have let us on.,No Date
MA,5,Bike Reservation,"Just booked a bike on the train from London to Carmarthen return via WhatsApp.Literally took less than a minute. Great service, cheers Brad whoever you are 😀👍👍",No Date
JP,5,Better than Crosscountry,"Used to get the train to Banbury but they sadly removed the line at the start of the pandemic. A dying shame, they are faster, quieter and have better Internet that Cross-country, whom I have to use now.",No Date
Alessandro Boglione,5,I have been helped from Brad and he has…,I have been helped from Brad and he has been very helpful,No Date
GM,5,Brad was very helpful for helping me…,Brad was very helpful for helping me book a bike reservation! Thanks,No Date
LA,5,Excellent customer service via Facebook Messenger,"Thank you to Michaela who helped me with a reservation enquiry via Facebook messenger this evening. She was prompt, articulate and clear, and helped me sort out my new reservation quickly.",No Date
Guto Harries,5,Booking my bike on the train through…,"Booking my bike on the train through whatsapp was simple, quick and so much easier than the traditional means over the phone with other operators",No Date
KC,5,Great customer support from Jo and…,"Great customer support from Jo and Michaela no WhatsApp from GWR. A surprise to find helpful people easily available from a big country. Also (not needed today), but I appreciated the 'reserve your bike' option on the website as a normal part of buying a ticket.",No Date
AL,5,Quick and very helpful,Quick and very helpful response from Michaela at GWR on Facebook Messenger! Booked me several reservations without any problems,No Date
Celtic Poppy,5,Brilliant,"Brilliant , fast and prompt service from the team member called Michaela on messenger - completely sorted me out in a matter of minutes , very impressed . Thanks .",No Date
JA,5,Amazing service,Amazing service! The team always reply quickly and efficiently. Booking a bike onto the train always used to be long and difficult but that is no more!,No Date
FI,5,Reserving space for a bike via Whatsapp,Needed to reserve a space for my bike. Amazing service via Whatsapp. Done within 5 minutes. Super easy!,No Date
JB,5,Excellent WhatsApp serve for bicycle…,"Excellent WhatsApp serve for bicycle reservations queries. Quick, friendly and a accurate. Just what's needed. Thank you 😊",No Date
CZ,5,Excellent!,"Excellent service, super speedy replies! I tried to book a bike on a train and wrote to them on Whatsapp. The replies came within minutes and Brad got me booked super quickly.",No Date
BO,5,I left my bag by accident on the train…,I left my bag by accident on the train and their WhatsApp service (Mr Brad) found it for me - finally 2021 technology showing its use,No Date
HI,5,Reserving bike spaces,"I wasn’t able to reserve bike spaces on GWR website but contacted customer services using the what’s app number provided on the website.  They were brilliant, responded quickly and reserved bike spaces on both journeys easily.   Very grateful as the planned bike adventure can now happen.",No Date
Graham Grundy,5,Tickets,"My Wife and I went to Torquay train station today to book tickets and was assisted by a colleague named Zulamar, what brilliant service, nothing was rushed all tickets were put in order and everything was explained clearly.Thank you for a great service.",No Date
HA,5,Great service via WhatsApp,Great customer service via WhatsApp while booking bikes. Only thing they could do it make it more obvious that you can contact them via WhatsApp as I didn’t immediately see the option.,No Date
DO,5,Bike spaces- great service,Very quick replies on WhatsApp when reservating bike spaces.!,No Date
HA,5,Bike booking much improved,Super easy to book bikes now via their WhatsApp number,No Date
JB,1,Abysmal customer service,"I travel from cardiff to woking on a regular basis 3 times a month and there has never been a time where my train hasn't been delayed or cancelled. The information provided to you is abysmal which makes it impossible to plan your journey as you always miss your connections. The customer service person to person most of the time is rude and not helpful. It has been countless times these scenarios have happened and doesn't ever seem to improve, actually seems to be getting worse.",No Date
LQ,5,A great service from Staines to Looe…,"A great service from Staines to Looe and back. Everything on time and staff very helpful. I left my phone on the train on Liskeard and the staff there were so helpful.. contacted the train,  found the phone and had it waiting for me the next day. Thank you so much Em.",No Date
BJ,1,Website awful,"Website awful, lags, is slow and does not give anything of value: The old website was simpler, easier and actually worked.  No doubt the new site is for inadequate millenials.",No Date
SR,5,Pretty chuffed with the service on my…,Pretty chuffed with the service on my line between Oxford and London. Always on twitter chat for any issues and bookings.,No Date
GA,5,Very helpful and quick.,"Date of experience: April 15, 2021",No Date
RR,2,Trains are fantastic and trip was good,Trains are fantastic and trip was good. Staff at Slough train station have no people skills. Hi hey are rude and authoritarian. Should invest in having staff trained on how to be polite with public!,No Date
Mr M Evans,5,“I am now that guy”.....,"I have used GWR services on my journeys back and fore work for around 15 years or more, early mornings and early evenings. Always friendly and reliable staff.Come 12/04/21 after countless journeys where everything is checked (keys, phone, wallet (the usual) then exit, on this day however I have now become that man - I left my “Apple Watch ON CHARGE on the seat. Not just any watch, “a 40th birthday present from my daughter!!!!!”First things first - I panic.... worry.... stress etc etc. I then do what all men do - say nothing and hope no one will notice! Then brain wave - google GWR lost property, click a link, add my details then sit back and try and not bring up “I left my watch on a train” into any conversation!I then find GWR on Twitter - I start my message with “Hi - this might be a long shot....” give the details. I’ve noticed it’s now getting quite late in the evening so wasn’t expecting any reply until the morning after, if at all.Low and behold, minutes later,...... I confess etc etc, Mrs cursing, daughter shouting, scenes! A message comes through in all the distraction, so I go through my predicament about now being “that guy.”They promise to try and get hold of someone and get back to me ASAP. A little time came and went but unfortunately nothing in the evening. Obviously during today I’m randomly checking to see if I’ve had any DM’s.This afternoon I had a message from Celia via Twitter, who had also taken my message the previous evening on behalf of GWR Team “confirming” my watch had been found safe and will be held for me to come and collect at my convenience.Excellent news, Mrs happy, daughter jubilant, scenes! The service I had throughout my “ordeal” has been excellent. All staff that I spoke to directly or indirectly via Twitter certainly went the extra mile for me to help and I couldn’t be more greatful!So use the GWR lost property link - easy,Then always worth sending a message like my long shot.Happy days.Thank you GWR!",No Date
DL,5,Very helpful and quick,"I have travelled on/off for the last 18 months via GWR - the digital support team / customer services are consistently helpful and quick. They are reliable, clear and always respond in full to my query. As a train company more generally, apart from lower fares, I can’t see what else they could do to improve. My train is always on time, there is space and they give good train announcements!","Apr 20, 2021"
MS,5,Almost flawless experience ! Still deserve a 5 star,I used the bike booking through whatsapp handy service with Quick and helpful replies. Great service. The only thing that could have made it better is if there was no exchange fees for tickets booked by mistake and changes with in fifteen minutes of purchases.,"Apr 20, 2021"
SH,5,Needed to book a couple of bikes on a…,"Needed to book a couple of bikes on a train from Bournemouth to Reading, Used Crosscountry Trains Facebook page and sent them a message. Got a response in 5 minutes from Andy. Great Service",No Date
KS,5,Quick and easy change to seat reservation,Used WhatsApp to contact GWR after being notified a train I was due to travel on had been cancelled. Had a response (from Brad) within a few minutes and he was able to rebook a seat reservation on the next train. This was done within a couple of minutes. Great customer service!,"Apr 20, 2021"
MS,5,Excellent customer service when booking…,"Excellent customer service when booking space for my bike. Effective, easy and fast! Highly recommended doing this by WhatsApp","Apr 20, 2021"
OE,5,Quick and helpful staff (Brad),Very speedy and helpful staff (Brad in particular) responded to my request for a bike reservation in less than 3 minutes. 10/10 would use again.,"Apr 20, 2021"
OL,5,GWR have WhatsApp? Who knew! Great customer service,I needed to book a seat reservation on a train. Had no idea how to do it when I'd already bought my ticket separately. Easy to find out on the GWR website. WhatsApped their business number and I had a really quick response from an employee (Brad) who sorted it out. Thanks for the great service!,"Apr 20, 2021"
RW,5,I had a query about whether i could…,I had a query about whether i could have a bike on my train journey and it was sorted out by a lovely chap called Brad within minutes!Great!,"Apr 20, 2021"
CH,5,I had a problem with a refund voucher,I had a problem with a refund voucher.  Liaising with customer service via Twitter worked very well and Brad and Michaela sorted out my problem perfectly.  Thank you.,"Apr 20, 2021"
PN,3,Very faint glimmers of hope for GWR ... ?,"For a long while I've loathed the fact that I'm what GWR would view as a 'captive customer': no alternatives to get from Cornwall to London but to use the train. Over the years GWR has been nothing less than appalling. However, on booking a short trip to London last November 2020, and experiencing usual difficulties online, I picked up the phone in great trepidation. I can only describe the experience that followed as something of a revelation. I spoke to people who knew what they were doing and actually, seemingly, genuinely wanted to help me. I was able to book a return journey without too much difficulty. Of course, HM Government then imposed a London lockdown so travelling on my dates was not permitted. I went online and found an option to apply for a replacement travel voucher: voucher because of the nature of tickets I'd booked but that was no problem for me. There then ensued about two months of the much anticipated GWR chaos, my application rejected, not valid tickets, cursory examination of my complaints, quickly dismiss with one line emails: much more like the GWR I'm accustomed to. I picked up the phone again. Another stroke of luck. Another GWR employee actually wanting to help me. After nearly three months, my issue was resolved within a couple of days. GWR has a long long way to go before I'm convinced it's much more than the awful company I'm used to dealing with. But there are glimmers of hope. Well deserved three stars.","Apr 20, 2021"
WS,5,Super pleased with the service I…,Super pleased with the service I received from GWR. I messaged them directly on WhatsApp for a bike reservation and it was pretty much instant. Twice over the weekend I used this service and I’ve been pleased with the efficiency of it! Thank you Celia and Michaela,"Apr 6, 2021"
BM,5,Seamless Bike Booking via WhatsApp,Really easy to reserve bike space on GWR trains through WhatsApp with Celia this week. Answered all of my questions about the service as well.,"Apr 4, 2021"
DA,5,Review for GWR’s excellent bike space…,"Review for GWR’s excellent bike space reserve system. I use a text messaging service - this time it was Celia, who  replied promptly and got the space for me. Super easy! Thanks!","Apr 4, 2021"
CW,4,Booking bike spaces on WhatsApp—incredible,"Can’t speak for train timeliness (I haven’t been on enough recently to judge) BUT I’ve been booking spaces for my bike over the past year via WhatsApp and the team who manage that are so helpful and absolutely delightful! Such a clever idea, so much easier than phoning someone!","Apr 4, 2021"
MA,5,Just another seamless booking of a bike…,"Just another seamless booking of a bike space via Facebook Messenger - thanks Phil. I'm impressed every time how efficient this service is. Just sent a message to the GWR page with train details and the bike space was booked in 5min. Hassle free, great service.","Apr 4, 2021"
Chiara de Giosa,5,The bike booking sistem is very easy…,The bike booking sistem is very easy and fast. Used the WhatsApp number and Brad was nice and helpful.,"Apr 4, 2021"
TJ,1,GWR should be ashamed,"Great Western Railway hire racist staff, and then hire staff to protect those racist staff. I was harassed and targeted by a ticket officer whilst waiting for my girlfriend to top up my oyster. He told me I ""looked like someone who would skip trains"" and that ""if I resisted he would call the police who would just put me in cuffs"". I was left waiting for a response too my complaint for 5 months. When they did get back to me I was met with an allegation of lying, fire backlash and an empty response stating that an investigation had taken place. When I asked for details of the investigation I was pushed to the curb. I was then told to stop emailing the team after asking them valid questions and calling them out on the fact they had actually overcharged me for my fine. Poor company. Racists.","Mar 30, 2021"
LA,5,The bike booking Whatsapp system is so…,The bike booking Whatsapp system is so efficient and easy!Thanks Michaela and Brad you were both really helpful.,"Mar 30, 2021"
SH,3,Average service and would travel on…,Average service and would travel on them again but with a better carraige,"Mar 30, 2021"
ML,5,A very big “Thank You” to the team on…,A very big “Thank You” to the team on board the 08.28 from Truro to Plymouth. It’s a stressful enough day going to Hosp every three weeks for treatment for several hours. So a huge thank you again for your kindness and help from Gary Bennett. Lewis Caspall. Jeremy Mepham. Lisa Wooton and Gemma Topping. You are all a credit to GWR. Kind regards. Maggie Lewis.,"Mar 22, 2021"
Eddie Morris,5,Excellent Service as Always,"Excellent Service as Always.  The honours go to Michaela tonight,  thank you","Mar 22, 2021"
JH,4,Overall great service where it matters,"Pros: Bike reservation service is speedy and easy to use. Trains are modern, quiet and clean. Throughout 2020 they have been running on and ahead of time. All GWR staff are friendly, approachable, and helpful.Cons: Website is hard to use. Bike space is fine for just one bike but even though it is designed for 2 they rarely  both fit. I would appreciate more non-stop services to Oxford from Paddington (I believe there is just one a day).","Mar 22, 2021"
ED,5,Excellent,"I have been travelling to work with GWR throughout the latest lockdown period with my bike and their customer service and app have been excellent. With extremely fast response times at all hours of the day, I have been very happy with their service.","Mar 16, 2021"
QH,1,The internet site is AWFUL,The internet site is AWFUL. Just horrendous. Enough to make me want to never use the company unless I had to. Took an hour to book a ticket because the site would not load. Each page was so SLOW- other site working fine. I'd rather drive. I hope they go under.,"Mar 16, 2021"
CR,5,Lost bag sourced very quickly!,"My partner left his bag on a train from Bristol to Chippenham, containing his laptop, passport and other essential things! After contacting GWR through facebook, an employee named Phil quickly responded and within less than 2 hours the bag was sourced. A massive thank you goes to both Phil and his colleague Madhuri who located the bag at Paddington station. Such a relief! Many thanks again, you both are stars.","Updated Mar 14, 2021"
SA,5,Phenomenal Customer Service,"I was pretty annoyed when my train was cancelled, but I received such amazing service from Michaela and Phil from GWR over WhatsApp that the annoyance didn't last long at all. They were SO helpful and replied in a matter of minutes, if not seconds, every time I messaged them, even at 11pm/Sunday morning.","Mar 14, 2021"
KW,5,Amazing customer service for Disabled,Amazing - Customer Service for the disabled.I frequent need to travel between South Wales and London Paddington for medical treatment.First great western Paddington station staff always go above and beyond in customer service to help me out in what ever ways they can. For what would otherwise be a very long day.,"Updated Mar 14, 2021"
AT,5,Fantastic service clean and on time,"Fantastic service clean and on time. My guard Callum on the 9.15 Newton Abbott to Paddington exsplained all I need to know about my on wood journey in detail, and arranged a golf cart to transport me to the underground as I have r sciatica. What a great guy great service","Mar 9, 2021"
DA,1,Actual false advertising,"If it were possible to give 0 stars I would.Purchased off peak return for a tfl rail train from London Paddington to Reading at 7.28 in the morning (note the off peak option was not available on other trains as they were direct trains and at peak times it makes sense that they would cost the full price). I checked both the trainline and GWR app and the off peak ticket option was available. So I brought the tickets, and it confirmed the train time at 7:28 was the recommended route.Get to the gate at 7:27, and I'm turned away for the wrong ticket type, even though it was available online and even has it on my confirmation email and e-tickets? I'm expecting a full refund, none of this £10 deduction fee. Buy your tickets in person folks, much easier to return that way.","Mar 9, 2021"
PS,1,Bought the whole ticket instead of a fine,"I felt so bad, didn't know 17:30 was peak time. I thought the peak times varied as the train was almost empty. When I looked up in the tickets online, the price was £ 90.00 but anyway, as I've already boarded the train and was unwell, I stayed. Eventually, the checker came around and he charged me £ 75.00 he said the tickets are about £ 110.00 that's why I must pay it as anytime train ticket. And I immediately knew it wasn't the truth, as I already saw it was £ 90.00 and I wasn't well enough to talk more so I paid. I was expecting a fine to be taken but instead got a heart attack. I better not travel ever again by train I guess. Unexpected slap on the face","Mar 9, 2021"
Toby Oliver Summers,1,If it were possible to give less than a…,"If it were possible to give less than a star I would.Rude staff, ridiculous fines, outrageous prices, poor hygiene (especially bathrooms).","Updated Feb 22, 2021"
Fae Hicks,4,Very polite and helpful staff on the…,Very polite and helpful staff on the phonelines who did their best to help when Trainline messed up my booking with GWR.,"Feb 22, 2021"
PC,1,Great Rip Off,Great Rip Off. £118.00 from Newport to Paddington in a service that is 70% unreliable with diversions for construction paid for at the customer's expense. Frequent replacement Bus services making for a third world travel experience. Occasionally they forget to provide enough carriages and you stand for £118. Consequences of a system endemic with corruption from contractors and government alike.,No Date
DA,2,I am so disgusted with Great western…,"I am so disgusted with Great western railways. I had a booking in May which I had to cancel in April because of the covid19 restrictions as we were in lockdown.I was told I would be getting a full refund with no fee taken for cancelling. Eight months on still waiting for a refund and now been told because I didn't apply for a refund in the 28 days of booking I will not get my money back. This is total wrong national rail states any booking for travel before September 6th will get a full refund from the train providers because of covid19. I don't know how they can think this is okay. Update! A year on, after alot of arguing and debate I now receive a refund has they made an mistake with my paper work.  I could only really thank one customer service employee for actual listening to me and taking it on his self to deal with this.","Feb 22, 2021"
MH,5,Bike Reservation,I needed to book a space for my bike. AN excellent service via whatsapp - couldn't have been better,"Feb 22, 2021"
JA,1,GWR are trash,"GWR are trash, there's nothing good to say about them. Overpriced tickets for trains that are always late, scabby trains, random cancellations etc. Extremely unreliable, basically useless if you need to get anywhere on time, and they won't refund you the vast majority of the time. Don't use them if you don't have to.",No Date
GT,5,Great,"Great, perfect service available !",No Date
RC,5,SO SO HELPFUL,So so helpful  2 of my trains were cancelled and managed to help me with quick replies and help answering what were probably obviously questions ahaha,No Date
JD,1,Having paid an extortionate £250 return…,"Having paid an extortionate £250 return for 2 tickets to Cornwall from London, my partner couldn't travel due to illness. I travelled and had to return early due to their Covid infection and deterioration. Had to pay an extra £32 to go back early and no refund possible on any of the unused tickets. 3 months for a reply from their Customer Services which told me station staff had been wrong to advise me to write in to ask in the circumstances for even a partial refund or credit voucher for future travel. Not a chance! No compassion or flexibility. This company doesn't know the meaning of a goodwill gesture, and no apology for a 3 month delay in responding.",No Date
MR,1,Not Covid Compliant,I recently needed to travel to London. On my outbound and inbound journey I found there was nobody checking passengers as they boarded to ensure they were wearing masks correctly and no monitoring onboard. Numerous passengers with masks around their necks or on their chins during my journey and the trolley staff said nothing. GWR failed to comply with the rules and failed in their duty of care to protect their passengers. Extremely disappointing,"Feb 22, 2021"
GH,1,Wifi never works.,"Date of experience: December 04, 2020",No Date
KR,4,Bike Space Reservation,Had great support booking a bike space via Josh on twitter!,No Date
EW,5,Booked a bike place via WhatsApp,"Booked a bike place via WhatsApp - simple, excellent and speedy service. Highly recommended!",No Date
KM,1,The worst customer service I ever experienced.,"Single most embarrassing, anti-customer and greedy service i ever experienced. When the train is cancelled there is no alternative provided and refund is next to impossible. Moreover, if you are in a hurry and can't  get a ticket on  time you will be eligible for a penalty if you get on  a train without it. Finally, it is cheaper to get a car if you need commuting regularly.",No Date
NA,1,The worst train experience of my life.,"The worst train experience that I have ever had. The tickets were extortionate the train to Penzance costing £140. My railcard had run out by a day and they fined me £237.00, they then stated in email correspondence that I hadn't bought a ticket and threatened to take me to court, stating the impact that this would have on the rest of my life. I recognise my mistake in having an out of date railcard, but the ensuing treatment and the punishment seems so far from the crime when a railcard costs £30 to renew and they just seem to use the vast size of the organisation to squeeze the money out of me when i had just made a simple mistake. In order to fine me they also interviewed me under caution which was highly stressful, and the interrogator seemed to delight in this, no wonder as I have since discovered these conductors receive a commission when handing out cautions. They have treated me like a criminal when I am a high paying customer and show no sympathy or understanding as they look to extract every last pound from my pocket.",No Date
Eliza Villarino,5,Great service!,I just booked a ticket and had some issues with the payment. Josh of GWR on Twitter helped resolve the issue and did it in a very timely manner. So my experience so far dealing with GWR has been awesome!,No Date
Claudio Da Cruz Velosa,1,Worst than bad,"I use this service 5 days out of 7 a week. Seldom I can make on time to my commitments, there's always something happening. However is very expensive service and keep charging peak time tickets over the lockdowns when the trains are always empty. Pure joke, gold diggers, is always the worst part of my day.",No Date
HB,5,I used the GWR WhatsApp service to book…,"I used the GWR WhatsApp service to book a space for my bike on the train. So impressed with the service, very speedy and efficient.",No Date
AN,5,CX support level 100🙌🏻,"My journey from CDF to GTW was impacted due to engineering works in the network, leading to cancellation. Thanks to the absolutely polite and quite fast responses of Josh, I was recheduled to an earlier one.Great service, great customer experience! Happy customer 💪🏻 (In the end all you need is someone on the other side of the screen to listen and act! great job GWR, keep up🙌🏻)",No Date
AB,1,Took 8 months to not get a refund,"Applied for a refund on tickets back in March due to COVID-19. I sent in all the needed documents and waited. After no correspondence for a few months, I contacted Support. In September, I finally got a response asking for more information. I sent the information in, waited til October to be told the refund couldn’t be issued. I had to give a passive aggressive reply for Support to tell me they would look into it further. Waited til November and emailed in to see if anything had happened. They replied the refund couldn’t be issued because the tickets for the journey was in March.I gave them some slack (probably too much which is my fault for being sympathetic to a travel company during a pandemic where you’re not supposed to travel) seeing as it’s a busy time in the pandemic situation, and I’m not happy that they didn’t tell me the tickets weren’t refundable when I originally applied for a refund and that they then sent me emails implying they were going to issue me one.","Nov 9, 2020"
CH,5,Fantastic service,"Massive heartfelt thanks to Josh this morning ... my son left his laptop on a train destined for London, on his way to school; by 9.30 the laptop was located! Josh responses very quickly, politely and helpfully. A*++++++ from me!","Nov 4, 2020"
Spyro Beretto,2,Refusing to modernise,"So somebody is abroad and is travelling to the UK and wants to buy a ticket with this lot. For delivery they give you the option to either post it to a UK address or pick it up from a machine/ticket office at the station. Great. So now you pay by Paypal and because you're not in the UK you can't have it delivered at your UK address so you choose the station pickup option. Excellent. Now we are in the coronavirus pandemic and things change from one day to the next so it turns out you can't come into the UK on the selected date. So now you're looking to change that ticket to a different date. Now the only option to have it delivered is via a UK address which creates a conundrum only they know how you can solve. So you have a relative who can receive the ticket to their UK address and then post it to you so you pick that option. But they don't send you the full amended ticket, they send you an excess ticket which is not valid unless you have the original ticket. Nobody is going to tell you that you have to pick up the original ticket from the machine to use the excess ticket. And if you used Paypal as the method to pay then you cannot pick it up from a machine because there is no provision for that, you have to go to the ticket office and get it from there. But not all stations have ticket offices and they're not open 24/7, not even at the airports!Why on earth can't they just issue an e-ticket for your devices countless other companies do and they use this archaic and convoluted system only they know. Perhaps they can't be bothered.",No Date
TR,1,Horrible,Horrible. Rude late expensive,No Date
MH,5,Many thanks to a guy called Brad who…,Many thanks to a guy called Brad who dealt with my enquiry efficiently and quickly this morning.Thank you Brad very much appreciated,"Nov 4, 2020"
Samantha Chinnock,5,08:31 Taunton to London Paddington,"Currently on the 8.31 from Taunton to London Paddington and the train manager David is magnificent. Honestly hilarious. ""Next station is Castle Scary"" just the tip of the iceberg, get that man a pay rise. His enjoyment of his job is evident and his humour and chirpiness is just what we need in these times.","Nov 4, 2020"
James Andrew,5,Friendly and efficient service for cyclists,I am always so impressed with the efficiency and comfort of services with GWR. I regularly rely on GWR/bike to ²go back to my hometown and I have always been able to book a bike reservation within minutes via their WhatsApp service. Particular shout out to Brad and Michaela who have recently provided an extremely friendly and quick service!,"Nov 4, 2020"
SH,5,I was supposed to go back to Reading…,"I was supposed to go back to Reading from Oxford but somehow managed to catch the wrong train towards Hanborough which is in the opposite direction. The train manager Kirsty W. was so lovely and helpful. She even came back to me and said: ""16:19"", to point out when is my next train to Reading. She really made my day. Thank you so much, Kirsty, for your kindness and professionalism. The lost guy in dark blue T-shirt.","Nov 4, 2020"
AD,1,Extremely rude GWR staff member at Bristol Temple Meads,"Quite alarmed by the rudeness and contempt that is clearly permissible by GWR. Myself and my partner were travelling from Cornwall and needed to make a change at Bristol Temple Meads. Having been on various trains over the course of 5 hours we were understandably rather tired by the time we arrived. We regularly travel so we are used to making changes and we are also familiar with Bristol Temple Meads. I arrived roughly in the area where we needed to catch our next train but was momentarily disoriented and looked towards my partner who was slightly behind me to confirm which platform we needed to be on. I was stood near, but not too close to a train on the opposite platform bound for London Paddington. Suddenly a tall GWR staff member wearing a black mask with short black hair launched himself at me and shouted “where are you going?” In a tone which suggested I am totally devoid of a brain. He was glaring at me so I took a pause as I couldn’t work out why I was being spoken to in this way and for a moment wasn’t even sure whether he was a member of staff owing to his complete lack of professionalism. He continued, again in a mocking tone, “this train will leave in a minute so you need to know where you’re going”, my partner then confirmed where we were headed to which the GWR member of staff pointed at platform 13 where the 2.39pm service to Great Malvern from BTM (the train we required, 23rd October) was arriving into the platform. “That one” he spat, towards my partner. A much more helpful member of staff almost seemed to intervene at this point as if also dumbstruck by his colleague’s rudeness and confirmed what we had just been told. As we went to board the train I remarked “slightly rude, but thank you” as I was disgusted at the way we had been treated. His anger came out of nowhere and we had not sought any help so his presence was a surprise. We would of been grateful for his assistance had it not been brought forward with abrasiveness and contempt. I was hardly holding up the other train as I was nowhere near it and after all, if confused passengers miss their train, that’s their fault, so there was no need for any of his attitude. The situation was compounded by the fact that as our train left the platform and began on its journey we turned to the passenger window and clocked the same member of staff on the platform waving at the carriage and blowing a kiss! Perhaps this was jokingly intended for the driver of the train but as it came so soon after our minor altercation it seemed too much of a coincidence. The action also seemed to be deliberately sarcastic and however you cut it, it’s rather strange behaviour! He clearly has little time for members of the public and is deeply dissatisfied in his role and he certainly should be nowhere near customers. He seemed to be fizzing with anger and attitude so I can only assume we were not the only recipients of his particular brand of charm this afternoon.  I would add I have never had a problem with train staff before and think they do a marvellous job, often under immense pressure. Coming from a customer service background myself I can appreciate that totally. However, I hope this complaint is taken seriously and the member of staff in question (whom, unfortunately I am not able to name) is given thorough customer service training and guidance on how to maintain his composure and control his anger.","Nov 4, 2020"
TP,5,Great customer service via facebook,I booked a train ticket via a 3rd party website and the booking stated that seat reservations were not possible. GWR's website however says seat reservations should be made. Contacted GWR this evening via facebook and all quickly sorted - Thanks Josh!,"Nov 4, 2020"
JP,1,"Failure of e-ticketing system, and general competence","Bought e-ticket, which vanished. Got to station, couldn't access it. Spent 30-min waiting for answer from helpline: was told all about the failure of GWR e-ticketing system, advised to buy new ticket and to raise the issue where I would be compensated.6-weeks later, GWR customer services are totally unaware of the issue they were acutely aware of on the day, no refund as yet, and no sense of pwnership or accountability.Can't afford to lose work again in this way. GWR, never again!","Nov 4, 2020"
EF,1,More often than not the staff are rude...,More often than not the staff are rude to paying customers such as myself. I actually had one physically try and shut the door in my face today because I had my two small dogs with me and I couldn't carry them both on because of the huge gap between the train and the platform. On other occasions I have been cat called by staff on the way out of the station and charged extra for adult tickets despite at the time being a child because I didn't have ID (who does at 15?)Other than the staff being rude the trains are often packed due to lack of carriages at peak times yet passangers are still expected to pay the full fare.,"Nov 4, 2020"
JB,5,Amazing,Amazing. Can’t believe it was so easy!,"Nov 4, 2020"
..,5,Book ya bikes with Brad,"Big love for the service from Brad on the WhatsApp If you’re booking bikes, couldn’t be simpler.","Nov 4, 2020"
LU,5,Booked my bike into the train via…,Booked my bike into the train via WhatsApp and it was sorted instantly by Brad. Much better service than booking over the phone!,"Nov 4, 2020"
RD,5,Booked a bike place via Twitter,Booked a bike place via Twitter and was sorted within minutes! Very quick and friendly service from Brad. Top job.,"Nov 4, 2020"
